Velocity,Hazard
1.948556948000000011e+00,1.000000000000000000e+00
2.386341878000000083e+00,9.989999999999999991e-01
3.261680746000000131e+00,9.740488779999999513e-01
4.689808690999999641e+00,9.241495389999999643e-01
6.464803477000000242e+00,7.892721050000000016e-01
8.762228640000000013e+00,6.920388979999999579e-01
1.270824218999999999e+01,4.425916970000000061e-01
1.843207941000000005e+01,2.615882729999999823e-01
2.765927552999999861e+01,9.631341599999999892e-02
3.534900989999999865e+01,4.376322299999999693e-02
4.442001943000000352e+01,1.988528499999999907e-02
5.306098947000000265e+01,9.035543999999999520e-03
6.338374961000000241e+01,3.999057000000000306e-03
7.381865018999999961e+01,1.865518000000000037e-03
8.744422140000000354e+01,7.239460000000000513e-04
1.044647080999999957e+02,2.736489999999999951e-04
1.346991891000000123e+02,5.360439999999999791e-05
1.542730210999999940e+02,1.823940000000000023e-05
1.767253080000000125e+02,4.294900000000000163e-06
1.924193639000000076e+02,1.281350000000000022e-06
2.077825621000000069e+02,2.720000000000000004e-07
2.205448145000000011e+02,1.050000000000000005e-07
